source,target,type,label
1,36,Directed,AP
1,50,Directed,AP
1,47,Directed,AP
2,36,Directed,AP
2,14,Directed,AP
2,30,Directed,AP
2,31,Directed,AP
2,32,Directed,AP
3,36,Directed,AP
4,50,Directed,AP
4,25,Directed,AP
7,31,Directed,AP
9,25,Directed,AP
9,14,Directed,AP
9,30,Directed,AP
10,50,Directed,AP
10,25,Directed,AP
11,25,Directed,AP
11,30,Directed,AP
11,36,Directed,AP
12,7,Directed,AP
12,9,Directed,AP
11,19,Directed,AP
13,19,Directed,Input
13,14,Directed,Input
13,30,Directed,Input
13,25,Directed,Input
14,25,Directed,Input
15,25,Directed,Input
16,14,Directed,Input
16,25,Directed,Input
17,23,Directed,Input
18,25,Directed,Input
18,30,Directed,Input
19,30,Directed,AP
19,25,Directed,AP
20,19,Directed,Input
20,25,Directed,Input
20,30,Directed,Input
20,27,Directed,Input
20,28,Directed,Input
21,25,Directed,Input
22,25,Directed,Input
23,25,Directed,Input
25,50,Directed,Subject
25,47,Directed,Subject
26,11,Directed,Subject
27,25,Directed,Subject
27,30,Directed,Subject
27,19,Directed,Subject
28,36,Directed,Subject
30,25,Directed,Input
31,25,Directed,Input
33,25,Directed,Subject
33,30,Directed,Subject
33,19,Directed,Subject
33,9,Directed,Subject
34,19,Directed,Subject
34,30,Directed,Subject
35,50,Directed,AP
36,50,Directed,AP
36,47,Directed,AP
37,50,Directed,AP
37,47,Directed,AP
37,25,Directed,AP
39,19,Directed,Input
39,14,Directed,Input
39,30,Directed,Input
39,25,Directed,Input
13,39,Directed,Input
13,40,Directed,Input
40,19,Directed,Input
40,14,Directed,Input
40,30,Directed,Input
40,25,Directed,Input
20,42,Directed,Input
42,19,Directed,Input
42,25,Directed,Input
42,30,Directed,Input
42,27,Directed,Input
42,28,Directed,Input
43,25,Directed,Subject
43,30,Directed,Subject
43,19,Directed,Subject
43,36,Directed,Subject
27,43,Directed,Subject
18,41,Directed,Input
41,25,Directed,Input
41,30,Directed,Input
44,19,Directed,Input
45,14,Directed,Input
45,30,Directed,Input
45,31,Directed,Input
45,36,Directed,Input
45,37,Directed,Input
47,50,Directed,Subject
